YearBuilt,mean,count
1872,122000.0,1
1875,94000.0,1
1880,228326.33333333334,3
1882,168000.0,1
1885,111250.0,2
1890,142200.0,2
1892,291250.0,2
1893,325000.0,1
1898,106000.0,1
1900,113572.22222222222,9
1904,157500.0,1
1905,163000.0,1
1906,135000.0,1
1908,240000.0,1
1910,112237.75,16
1911,130000.0,1
1912,127200.0,2
1913,90350.0,1
1914,135897.83333333334,6
1915,132255.55555555556,9
1916,139800.0,8
1917,129500.0,1
1918,172421.42857142858,7
1919,154833.33333333334,3
1920,119854.54545454546,22
1921,147166.66666666666,3
1922,107566.66666666667,6
1923,151500.0,6
1924,105400.0,6
1925,123253.57142857143,14
1926,128614.28571428571,7
1928,139600.0,5
1929,160000.0,3
1930,106600.0,8
1931,126650.0,6
1932,233358.5,4
1934,273900.0,2
1935,188125.0,4
1936,133000.0,7
1937,142600.0,4
1938,109875.0,2
1939,127871.42857142857,7
1940,122772.72727272728,11
1941,124785.71428571429,14
1942,162000.0,2
1945,137000.0,4
1946,109100.0,4
1947,102833.33333333333,3
1948,130472.72727272728,11
1949,118445.45454545454,11
1950,122951.5625,16
1951,135720.0,5
1952,124000.0,4
1953,147409.0909090909,11
1954,137460.0,20
1955,137439.58333333334,12
1956,146175.0,8
1957,148903.33333333334,15
1958,143204.7619047619,21
1959,159292.5,20
1960,163803.33333333334,15
1961,141540.9090909091,11
1962,148456.25,16
1963,142925.0,14
1964,165242.85714285713,14
1965,153232.52380952382,21
1966,164790.7142857143,14
1967,136684.61538461538,13
1968,172900.0,16
1969,169820.0,10
1970,141308.33333333334,18
1971,133423.68421052632,19
1972,147850.0,18
1973,128940.0,10
1974,195285.7142857143,7
1975,143983.33333333334,6
1976,170358.2,25
1977,167418.75,24
1978,168172.72727272726,11
1979,161089.25,8
1980,158333.33333333334,6
1981,249880.0,5
1982,133980.0,5
1983,181400.0,4
1984,164111.11111111112,9
1985,168000.0,3
1986,189666.66666666666,3
1987,209000.0,2
1988,199888.88888888888,9
1989,281750.0,2
1990,223808.0,10
1991,225733.33333333334,3
1992,223455.55555555556,9
1993,214900.0,10
1994,218673.33333333334,15
1995,263785.71428571426,14
1996,272264.6153846154,13
1997,207195.0,10
1998,224373.80952380953,21
1999,218423.4,20
2000,214195.0,20
2001,246416.66666666666,18
2002,224710.52631578947,19
2003,222249.61111111112,36
2004,214597.3260869565,46
2005,224614.8076923077,52
2006,245255.73076923078,52
2007,256048.15789473685,38
2008,365550.64705882355,17
2009,249076.64705882352,17
2010,394432.0,1
