Neighborhood,YearBuilt,SalePrice
Blmngtn,2003,224500.0
Blmngtn,2004,185370.0
Blmngtn,2005,184238.33333333334
Blmngtn,2006,218530.5
Blmngtn,2007,169931.66666666666
Blueste,1980,124000.0
BrDale,1970,112333.33333333333
BrDale,1971,93280.0
BrDale,1972,106250.0
BrDale,1973,98666.66666666667
BrkSide,1910,167500.0
BrkSide,1916,167750.0
BrkSide,1918,130000.0
BrkSide,1919,180500.0
BrkSide,1920,136000.0
BrkSide,1921,89000.0
BrkSide,1922,113000.0
BrkSide,1923,173000.0
BrkSide,1924,104750.0
BrkSide,1925,129666.66666666667
BrkSide,1926,100300.0
BrkSide,1928,149000.0
BrkSide,1929,120000.0
BrkSide,1930,162900.0
BrkSide,1931,116250.0
BrkSide,1935,52000.0
BrkSide,1936,128166.66666666667
BrkSide,1937,134900.0
BrkSide,1939,130233.33333333333
BrkSide,1940,79500.0
BrkSide,1941,115500.0
BrkSide,1946,80450.0
BrkSide,1947,80500.0
BrkSide,1948,127000.0
BrkSide,1949,72500.0
BrkSide,1950,110000.0
BrkSide,1958,116500.0
BrkSide,1970,129000.0
ClearCr,1908,240000.0
ClearCr,1953,225000.0
ClearCr,1954,256000.0
ClearCr,1955,190000.0
ClearCr,1957,161500.0
ClearCr,1958,277000.0
ClearCr,1960,235000.0
ClearCr,1964,190000.0
ClearCr,1966,187500.0
ClearCr,1967,185000.0
ClearCr,1969,180000.0
ClearCr,1971,228500.0
ClearCr,1977,192000.0
ClearCr,1979,260000.0
ClearCr,1988,211000.0
ClearCr,1992,240000.0
ClearCr,1996,328000.0
ClearCr,1997,200000.0
CollgCr,1969,128500.0
CollgCr,1972,129628.57142857143
CollgCr,1975,116000.0
CollgCr,1977,151412.5
CollgCr,1978,141750.0
CollgCr,1994,148520.0
CollgCr,1995,166750.0
CollgCr,1996,181200.0
CollgCr,1997,216330.0
CollgCr,1998,226885.7142857143
CollgCr,1999,206400.0
CollgCr,2000,249000.0
CollgCr,2001,241111.11111111112
CollgCr,2002,225945.45454545456
CollgCr,2003,183166.66666666666
CollgCr,2004,193510.53846153847
CollgCr,2005,190046.66666666666
CollgCr,2006,236171.0
CollgCr,2007,245922.2
CollgCr,2008,270421.5
CollgCr,2009,198900.0
Crawfor,1910,139000.0
Crawfor,1913,90350.0
Crawfor,1914,138887.0
Crawfor,1915,158500.0
Crawfor,1918,214475.0
Crawfor,1920,200100.0
Crawfor,1921,163500.0
Crawfor,1922,191000.0
Crawfor,1923,165000.0
Crawfor,1926,165250.0
Crawfor,1928,177000.0
Crawfor,1929,230000.0
Crawfor,1931,149000.0
Crawfor,1932,258000.0
Crawfor,1934,273900.0
Crawfor,1935,381000.0
Crawfor,1938,119750.0
Crawfor,1940,219500.0
Crawfor,1941,201666.66666666666
Crawfor,1942,177500.0
Crawfor,1945,259500.0
Crawfor,1946,145000.0
Crawfor,1949,145000.0
Crawfor,1950,158500.0
Crawfor,1953,187000.0
Crawfor,1954,224000.0
Crawfor,1956,230000.0
Crawfor,1957,257500.0
Crawfor,1959,312000.0
Crawfor,1969,223000.0
Crawfor,1988,222000.0
Crawfor,2004,275000.0
Crawfor,2006,235000.0
Crawfor,2008,392500.0
Edwards,1900,132450.0
Edwards,1910,92666.66666666667
Edwards,1914,58500.0
Edwards,1918,150500.0
Edwards,1920,96500.0
Edwards,1922,80450.0
Edwards,1924,91950.0
Edwards,1925,100800.0
Edwards,1931,79000.0
Edwards,1935,235000.0
Edwards,1938,100000.0
Edwards,1939,105000.0
