TotRmsAbvGrd,TotRmsAbvGrd^2,SalePrice
5.0,25.0,145000
7.0,49.0,178000
4.0,16.0,85000
7.0,49.0,175000
6.0,36.0,127000
5.0,25.0,149900
6.0,36.0,174000
7.0,49.0,125500
7.0,49.0,175500
7.0,49.0,225000
6.0,36.0,129000
6.0,36.0,159950
7.0,49.0,157000
7.0,49.0,205000
6.0,36.0,140000
8.0,64.0,200000
7.0,49.0,217000
4.0,16.0,125000
6.0,36.0,159500
7.0,49.0,184000
5.0,25.0,96500
12.0,144.0,200000
8.0,64.0,149000
8.0,64.0,178900
5.0,25.0,184900
5.0,25.0,164700
7.0,49.0,335000
6.0,36.0,87500
7.0,49.0,233170
6.0,36.0,149350
6.0,36.0,133000
5.0,25.0,98000
7.0,49.0,207500
8.0,64.0,150000
5.0,25.0,134900
5.0,25.0,187750
6.0,36.0,149500
5.0,25.0,116050
6.0,36.0,153337
6.0,36.0,165000
5.0,25.0,130500
8.0,64.0,206300
5.0,25.0,146000
6.0,36.0,126500
8.0,64.0,139000
8.0,64.0,113000
5.0,25.0,79000
6.0,36.0,182000
8.0,64.0,188000
5.0,25.0,129000
10.0,100.0,160000
7.0,49.0,174000
9.0,81.0,219210
10.0,100.0,310000
6.0,36.0,374000
5.0,25.0,100000
9.0,81.0,250000
3.0,9.0,145000
9.0,81.0,325000
9.0,81.0,380000
5.0,25.0,275000
5.0,25.0,180000
7.0,49.0,245350
5.0,25.0,151500
6.0,36.0,134500
6.0,36.0,94000
7.0,49.0,216000
7.0,49.0,350000
8.0,64.0,195000
6.0,36.0,120000
7.0,49.0,228500
7.0,49.0,248000
6.0,36.0,124000
7.0,49.0,191000
5.0,25.0,181000
6.0,36.0,105000
6.0,36.0,139900
7.0,49.0,157900
6.0,36.0,130500
7.0,49.0,172400
6.0,36.0,130000
6.0,36.0,178000
7.0,49.0,161500
5.0,25.0,119900
9.0,81.0,239000
7.0,49.0,190000
4.0,16.0,85400
6.0,36.0,205000
5.0,25.0,134000
7.0,49.0,168000
8.0,64.0,185000
6.0,36.0,180500
6.0,36.0,152000
8.0,64.0,215000
5.0,25.0,153000
11.0,121.0,106000
8.0,64.0,340000
7.0,49.0,159000
5.0,25.0,120000
9.0,81.0,115000
5.0,25.0,128000
9.0,81.0,314813
8.0,64.0,131000
11.0,121.0,446261
6.0,36.0,127500
7.0,49.0,155000
6.0,36.0,177500
7.0,49.0,128500
8.0,64.0,176000
8.0,64.0,402000
7.0,49.0,130000
6.0,36.0,145000
5.0,25.0,147000
5.0,25.0,115000
7.0,49.0,189000
8.0,64.0,143000
9.0,81.0,240000
6.0,36.0,230000
8.0,64.0,190000
7.0,49.0,213000
5.0,25.0,82500
7.0,49.0,274900
6.0,36.0,155000
8.0,64.0,423000
5.0,25.0,128500
10.0,100.0,335000
5.0,25.0,262000
5.0,25.0,129500
8.0,64.0,222500
6.0,36.0,270000
6.0,36.0,207500
7.0,49.0,175000
8.0,64.0,238000
9.0,81.0,135900
6.0,36.0,224000
8.0,64.0,170000
6.0,36.0,185000
8.0,64.0,263000
5.0,25.0,62383
6.0,36.0,150000
6.0,36.0,171000
6.0,36.0,139000
6.0,36.0,126175
7.0,49.0,205950
7.0,49.0,110000
11.0,121.0,485000
7.0,49.0,174000
5.0,25.0,145000
7.0,49.0,215200
8.0,64.0,320000
6.0,36.0,212000
6.0,36.0,168500
8.0,64.0,189000
6.0,36.0,140000
6.0,36.0,187500
8.0,64.0,254900
6.0,36.0,135000
6.0,36.0,151000
5.0,25.0,112500
8.0,64.0,184000
12.0,144.0,197000
8.0,64.0,161500
4.0,16.0,85000
6.0,36.0,203000
11.0,121.0,325000
8.0,64.0,313000
7.0,49.0,237000
8.0,64.0,180500
4.0,16.0,137000
4.0,16.0,90350
8.0,64.0,150900
6.0,36.0,214000
5.0,25.0,121500
10.0,100.0,745000
8.0,64.0,190000
7.0,49.0,181000
5.0,25.0,60000
7.0,49.0,239000
5.0,25.0,118500
5.0,25.0,109500
5.0,25.0,110000
4.0,16.0,105500
10.0,100.0,199900
7.0,49.0,271900
6.0,36.0,131500
7.0,49.0,135000
7.0,49.0,119000
7.0,49.0,215000
5.0,25.0,133500
10.0,100.0,169000
6.0,36.0,137500
6.0,36.0,147000
7.0,49.0,232000
6.0,36.0,156000
6.0,36.0,170000
4.0,16.0,82500
6.0,36.0,155000
11.0,121.0,424870
5.0,25.0,236500
6.0,36.0,218000
6.0,36.0,213000
7.0,49.0,312500
7.0,49.0,187000
7.0,49.0,181000
8.0,64.0,233000
5.0,25.0,95000
5.0,25.0,52000
7.0,49.0,181000
9.0,81.0,501837
5.0,25.0,88000
5.0,25.0,112000
6.0,36.0,140000
7.0,49.0,167000
7.0,49.0,145250
7.0,49.0,210000
8.0,64.0,157500
7.0,49.0,212900
5.0,25.0,117500
6.0,36.0,185500
6.0,36.0,85000
8.0,64.0,145000
7.0,49.0,255500
8.0,64.0,124000
4.0,16.0,134900
7.0,49.0,230500
4.0,16.0,110000
8.0,64.0,233230
8.0,64.0,157000
10.0,100.0,142600
6.0,36.0,154000
7.0,49.0,179665
4.0,16.0,91000
7.0,49.0,197900
8.0,64.0,205000
7.0,49.0,161000
6.0,36.0,149900
6.0,36.0,207000
3.0,9.0,143000
8.0,64.0,281000
7.0,49.0,372500
7.0,49.0,235000
10.0,100.0,214500
9.0,81.0,260000
6.0,36.0,149700
5.0,25.0,131000
4.0,16.0,144000
7.0,49.0,215000
6.0,36.0,176000
10.0,100.0,144000
6.0,36.0,155000
9.0,81.0,290000
7.0,49.0,230000
8.0,64.0,290000
5.0,25.0,328900
5.0,25.0,142000
7.0,49.0,231500
6.0,36.0,162000
5.0,25.0,133000
8.0,64.0,386250
5.0,25.0,110500
8.0,64.0,339750
5.0,25.0,87000
6.0,36.0,158500
6.0,36.0,170000
7.0,49.0,55000
9.0,81.0,138887
8.0,64.0,170000
7.0,49.0,240000
4.0,16.0,147400
6.0,36.0,289000
8.0,64.0,135000
7.0,49.0,140000
