TotalBsmtSF,TotalBsmtSF^2,SalePrice
1314.0,1726596.0,145000
799.0,638401.0,178000
796.0,633616.0,85000
731.0,534361.0,175000
1026.0,1052676.0,127000
894.0,799236.0,149900
684.0,467856.0,174000
796.0,633616.0,125500
1422.0,2022084.0,175500
1496.0,2238016.0,225000
814.0,662596.0,129000
1024.0,1048576.0,159950
1271.0,1615441.0,157000
768.0,589824.0,205000
1164.0,1354896.0,140000
1010.0,1020100.0,200000
1809.0,3272481.0,217000
825.0,680625.0,125000
690.0,476100.0,159500
1606.0,2579236.0,184000
768.0,589824.0,96500
1248.0,1557504.0,200000
1042.0,1085764.0,149000
783.0,613089.0,178900
1176.0,1382976.0,184900
625.0,390625.0,164700
1902.0,3617604.0,335000
0.0,0.0,87500
1502.0,2256004.0,233170
1228.0,1507984.0,149350
832.0,692224.0,133000
864.0,746496.0,98000
1686.0,2842596.0,207500
1281.0,1640961.0,150000
858.0,736164.0,134900
1293.0,1671849.0,187750
1505.0,2265025.0,149500
864.0,746496.0,116050
1086.0,1179396.0,153337
1383.0,1912689.0,165000
816.0,665856.0,130500
1344.0,1806336.0,206300
689.0,474721.0,146000
1065.0,1134225.0,126500
661.0,436921.0,139000
736.0,541696.0,113000
572.0,327184.0,79000
1428.0,2039184.0,182000
773.0,597529.0,188000
864.0,746496.0,129000
686.0,470596.0,160000
1319.0,1739761.0,174000
879.0,772641.0,219210
1017.0,1034289.0,310000
1792.0,3211264.0,374000
968.0,937024.0,100000
1054.0,1110916.0,250000
648.0,419904.0,145000
1237.0,1530169.0,325000
2153.0,4635409.0,380000
1594.0,2540836.0,275000
1298.0,1684804.0,180000
1694.0,2869636.0,245350
958.0,917764.0,151500
925.0,855625.0,134500
780.0,608400.0,94000
814.0,662596.0,216000
2109.0,4447881.0,350000
848.0,719104.0,195000
626.0,391876.0,120000
1284.0,1648656.0,228500
973.0,946729.0,248000
1144.0,1308736.0,124000
1346.0,1811716.0,191000
1040.0,1081600.0,181000
560.0,313600.0,105000
978.0,956484.0,139900
1442.0,2079364.0,157900
768.0,589824.0,130500
953.0,908209.0,172400
384.0,147456.0,130000
707.0,499849.0,178000
1372.0,1882384.0,161500
793.0,628849.0,119900
952.0,906304.0,239000
1844.0,3400336.0,190000
483.0,233289.0,85400
1610.0,2592100.0,205000
1084.0,1175056.0,134000
1249.0,1560001.0,168000
802.0,643204.0,185000
1152.0,1327104.0,180500
910.0,828100.0,152000
777.0,603729.0,215000
992.0,984064.0,153000
849.0,720801.0,106000
1580.0,2496400.0,340000
912.0,831744.0,159000
862.0,743044.0,120000
0.0,0.0,115000
1078.0,1162084.0,128000
1822.0,3319684.0,314813
768.0,589824.0,131000
1452.0,2108304.0,446261
884.0,781456.0,127500
910.0,828100.0,155000
1200.0,1440000.0,177500
720.0,518400.0,128500
728.0,529984.0,176000
1629.0,2653641.0,402000
940.0,883600.0,130000
1092.0,1192464.0,145000
1113.0,1238769.0,147000
864.0,746496.0,115000
994.0,988036.0,189000
1632.0,2663424.0,143000
1522.0,2316484.0,240000
1314.0,1726596.0,230000
750.0,562500.0,190000
1473.0,2169729.0,213000
420.0,176400.0,82500
1713.0,2934369.0,274900
1269.0,1610361.0,155000
2077.0,4313929.0,423000
864.0,746496.0,128500
1104.0,1218816.0,335000
1624.0,2637376.0,262000
1040.0,1081600.0,129500
884.0,781456.0,222500
1494.0,2232036.0,270000
1314.0,1726596.0,207500
702.0,492804.0,175000
1104.0,1218816.0,238000
780.0,608400.0,135900
1358.0,1844164.0,224000
384.0,147456.0,170000
1221.0,1490841.0,185000
912.0,831744.0,263000
864.0,746496.0,62383
1008.0,1016064.0,150000
1390.0,1932100.0,171000
1056.0,1115136.0,139000
1162.0,1350244.0,126175
813.0,660969.0,205950
684.0,467856.0,110000
1926.0,3709476.0,485000
1304.0,1700416.0,174000
547.0,299209.0,145000
756.0,571536.0,215200
1905.0,3629025.0,320000
799.0,638401.0,212000
1248.0,1557504.0,168500
1055.0,1113025.0,189000
533.0,284089.0,140000
691.0,477481.0,187500
991.0,982081.0,254900
1098.0,1205604.0,135000
1054.0,1110916.0,151000
928.0,861184.0,112500
1026.0,1052676.0,184000
824.0,678976.0,197000
1104.0,1218816.0,161500
1022.0,1044484.0,85000
1274.0,1623076.0,203000
1122.0,1258884.0,325000
1440.0,2073600.0,313000
1128.0,1272384.0,237000
764.0,583696.0,180500
1008.0,1016064.0,137000
440.0,193600.0,90350
1728.0,2985984.0,150900
1588.0,2521744.0,214000
1392.0,1937664.0,121500
2396.0,5740816.0,745000
808.0,652864.0,190000
1346.0,1811716.0,181000
1276.0,1628176.0,60000
1800.0,3240000.0,239000
816.0,665856.0,118500
0.0,0.0,109500
924.0,853776.0,110000
832.0,692224.0,105500
930.0,864900.0,199900
2158.0,4656964.0,271900
1039.0,1079521.0,131500
720.0,518400.0,135000
861.0,741321.0,119000
791.0,625681.0,215000
864.0,746496.0,133500
804.0,646416.0,169000
936.0,876096.0,137500
1120.0,1254400.0,147000
1616.0,2611456.0,232000
1073.0,1151329.0,156000
1389.0,1929321.0,170000
861.0,741321.0,82500
560.0,313600.0,155000
1466.0,2149156.0,424870
1595.0,2544025.0,236500
1437.0,2064969.0,218000
1630.0,2656900.0,213000
1800.0,3240000.0,312500
528.0,278784.0,187000
841.0,707281.0,181000
956.0,913936.0,233000
616.0,379456.0,95000
270.0,72900.0,52000
1362.0,1855044.0,181000
2216.0,4910656.0,501837
858.0,736164.0,88000
833.0,693889.0,112000
931.0,866761.0,140000
1416.0,2005056.0,167000
1383.0,1912689.0,145250
1542.0,2377764.0,210000
650.0,422500.0,157500
1552.0,2408704.0,212900
925.0,855625.0,117500
1414.0,1999396.0,185500
1013.0,1026169.0,85000
1626.0,2643876.0,145000
1709.0,2920681.0,255500
636.0,404496.0,124000
698.0,487204.0,134900
1406.0,1976836.0,230500
858.0,736164.0,110000
1079.0,1164241.0,233230
596.0,355216.0,157000
1728.0,2985984.0,142600
764.0,583696.0,154000
654.0,427716.0,179665
768.0,589824.0,91000
793.0,628849.0,197900
803.0,644809.0,205000
588.0,345744.0,161000
985.0,970225.0,149900
1358.0,1844164.0,207000
848.0,719104.0,143000
1085.0,1177225.0,281000
2046.0,4186116.0,372500
992.0,984064.0,235000
844.0,712336.0,214500
1347.0,1814409.0,260000
912.0,831744.0,149700
864.0,746496.0,131000
912.0,831744.0,144000
1080.0,1166400.0,215000
1362.0,1855044.0,176000
0.0,0.0,144000
1010.0,1020100.0,155000
1318.0,1737124.0,290000
1004.0,1008016.0,230000
1660.0,2755600.0,290000
1698.0,2883204.0,328900
912.0,831744.0,142000
928.0,861184.0,231500
723.0,522729.0,162000
1040.0,1081600.0,133000
2392.0,5721664.0,386250
1103.0,1216609.0,110500
1034.0,1069156.0,339750
720.0,518400.0,87000
1092.0,1192464.0,158500
1053.0,1108809.0,170000
0.0,0.0,55000
747.0,558009.0,138887
570.0,324900.0,170000
1670.0,2788900.0,240000
600.0,360000.0,147400
1501.0,2253001.0,289000
1656.0,2742336.0,135000
756.0,571536.0,140000
1393.0,1940449.0,333168
728.0,529984.0,146500
1136.0,1290496.0,354000
796.0,633616.0,143000
1476.0,2178576.0,265900
864.0,746496.0,146000
1064.0,1132096.0,165000
0.0,0.0,82000
1650.0,2722500.0,213250
540.0,291600.0,79000
1214.0,1473796.0,143000
725.0,525625.0,130500
893.0,797449.0,239900
771.0,594441.0,177500
1475.0,2175625.0,262280
1588.0,2521744.0,227000
655.0,429025.0,159500
1479.0,2187441.0,217000
2033.0,4133089.0,410000
870.0,756900.0,148000
728.0,529984.0,178000
1078.0,1162084.0,162900
1372.0,1882384.0,187500
983.0,966289.0,160000
866.0,749956.0,212000
1196.0,1430416.0,139000
0.0,0.0,108000
0.0,0.0,84000
784.0,614656.0,172000
784.0,614656.0,104900
684.0,467856.0,114504
483.0,233289.0,106000
910.0,828100.0,179900
836.0,698896.0,102000
1500.0,2250000.0,190000
1284.0,1648656.0,340000
1947.0,3790809.0,180000
1187.0,1408969.0,206000
1050.0,1102500.0,131500
1440.0,2073600.0,150000
1212.0,1468944.0,186000
572.0,327184.0,116900
1142.0,1304164.0,299800
880.0,774400.0,188000
1328.0,1763584.0,143000
1052.0,1106704.0,138500
1288.0,1658944.0,260000
948.0,898704.0,119000
728.0,529984.0,167500
440.0,193600.0,85500
1554.0,2414916.0,209500
952.0,906304.0,206900
816.0,665856.0,112000
839.0,703921.0,193000
1161.0,1347921.0,197500
1240.0,1537600.0,139000
920.0,846400.0,119750
0.0,0.0,198500
980.0,960400.0,135000
920.0,846400.0,223500
1686.0,2842596.0,307000
972.0,944784.0,132000
1188.0,1411344.0,168000
1055.0,1113025.0,287000
539.0,290521.0,197000
1070.0,1144900.0,134450
1040.0,1081600.0,133700
1704.0,2903616.0,306000
1193.0,1423249.0,180000
1489.0,2217121.0,232600
1386.0,1920996.0,175900
1212.0,1468944.0,178000
1573.0,2474329.0,227000
732.0,535824.0,165150
1324.0,1752976.0,223500
864.0,746496.0,207500
1566.0,2452356.0,256300
1922.0,3694084.0,377426
846.0,715716.0,224500
1656.0,2742336.0,249700
641.0,410881.0,100000
1848.0,3415104.0,437154
1425.0,2030625.0,180500
952.0,906304.0,121000
990.0,980100.0,156000
938.0,879844.0,180000
1056.0,1115136.0,107000
1746.0,3048516.0,377500
832.0,692224.0,185000
520.0,270400.0,175000
831.0,690561.0,195000
1752.0,3069504.0,319900
1361.0,1852321.0,190000
3138.0,9847044.0,184750
784.0,614656.0,109500
1040.0,1081600.0,129000
1051.0,1104601.0,148000
672.0,451584.0,158900
0.0,0.0,39300
600.0,360000.0,151000
1375.0,1890625.0,178740
1584.0,2509056.0,124000
792.0,627264.0,230000
1258.0,1582564.0,145000
876.0,767376.0,125500
