GrLivArea,GrLivArea^2,SalePrice
1314.0,1726596.0,145000
1571.0,2468041.0,178000
796.0,633616.0,85000
1768.0,3125824.0,175000
1691.0,2859481.0,127000
894.0,799236.0,149900
1560.0,2433600.0,174000
1154.0,1331716.0,125500
1422.0,2022084.0,175500
1496.0,2238016.0,225000
913.0,833569.0,129000
1086.0,1179396.0,159950
1601.0,2563201.0,157000
1986.0,3944196.0,205000
1164.0,1354896.0,140000
2267.0,5139289.0,200000
2259.0,5103081.0,217000
825.0,680625.0,125000
1426.0,2033476.0,159500
1651.0,2725801.0,184000
789.0,622521.0,96500
2634.0,6937956.0,200000
1576.0,2483776.0,149000
1484.0,2202256.0,178900
1200.0,1440000.0,184900
1250.0,1562500.0,164700
1902.0,3617604.0,335000
1040.0,1081600.0,87500
1502.0,2256004.0,233170
1228.0,1507984.0,149350
1268.0,1607824.0,133000
864.0,746496.0,98000
1686.0,2842596.0,207500
1620.0,2624400.0,150000
858.0,736164.0,134900
1301.0,1692601.0,187750
1505.0,2265025.0,149500
864.0,746496.0,116050
1224.0,1498176.0,153337
1383.0,1912689.0,165000
816.0,665856.0,130500
1344.0,1806336.0,206300
1392.0,1937664.0,146000
1065.0,1134225.0,126500
1250.0,1562500.0,139000
1452.0,2108304.0,113000
1096.0,1201216.0,79000
1428.0,2039184.0,182000
1658.0,2748964.0,188000
864.0,746496.0,129000
1928.0,3717184.0,160000
1537.0,2362369.0,174000
1863.0,3470769.0,219210
2007.0,4028049.0,310000
1792.0,3211264.0,374000
968.0,937024.0,100000
2654.0,7043716.0,250000
960.0,921600.0,145000
2775.0,7700625.0,325000
2643.0,6985449.0,380000
1646.0,2709316.0,275000
1298.0,1684804.0,180000
1694.0,2869636.0,245350
958.0,917764.0,151500
999.0,998001.0,134500
1020.0,1040400.0,94000
1674.0,2802276.0,216000
2113.0,4464769.0,350000
2030.0,4120900.0,195000
1217.0,1481089.0,120000
2169.0,4704561.0,228500
1850.0,3422500.0,248000
1144.0,1308736.0,124000
1504.0,2262016.0,191000
1309.0,1713481.0,181000
1258.0,1582564.0,105000
1422.0,2022084.0,139900
1442.0,2079364.0,157900
1200.0,1440000.0,130500
1664.0,2768896.0,172400
1360.0,1849600.0,130000
1414.0,1999396.0,178000
1342.0,1800964.0,161500
1118.0,1249924.0,119900
2345.0,5499025.0,239000
1844.0,3400336.0,190000
987.0,974169.0,85400
1610.0,2592100.0,205000
1080.0,1166400.0,134000
1622.0,2630884.0,168000
1511.0,2283121.0,185000
1152.0,1327104.0,180500
1558.0,2427364.0,152000
1911.0,3651921.0,215000
1306.0,1705636.0,153000
2138.0,4571044.0,106000
2466.0,6081156.0,340000
1734.0,3006756.0,159000
1158.0,1340964.0,120000
1771.0,3136441.0,115000
958.0,917764.0,128000
1828.0,3341584.0,314813
1716.0,2944656.0,131000
2713.0,7360369.0,446261
1367.0,1868689.0,127500
1826.0,3334276.0,155000
1200.0,1440000.0,177500
1382.0,1909924.0,128500
1456.0,2119936.0,176000
2448.0,5992704.0,402000
1964.0,3857296.0,130000
1092.0,1192464.0,145000
1113.0,1238769.0,147000
864.0,746496.0,115000
1804.0,3254416.0,189000
1632.0,2663424.0,143000
2614.0,6832996.0,240000
1314.0,1726596.0,230000
1923.0,3697929.0,190000
1484.0,2202256.0,213000
708.0,501264.0,82500
1713.0,2934369.0,274900
1269.0,1610361.0,155000
2097.0,4397409.0,423000
864.0,746496.0,128500
2184.0,4769856.0,335000
1624.0,2637376.0,262000
1040.0,1081600.0,129500
2035.0,4141225.0,222500
1494.0,2232036.0,270000
1314.0,1726596.0,207500
1743.0,3038049.0,175000
2127.0,4524129.0,238000
1716.0,2944656.0,135900
1358.0,1844164.0,224000
1430.0,2044900.0,170000
1221.0,1490841.0,185000
2094.0,4384836.0,263000
864.0,746496.0,62383
1053.0,1108809.0,150000
1701.0,2893401.0,171000
1056.0,1115136.0,139000
1163.0,1352569.0,126175
1665.0,2772225.0,205950
1196.0,1430416.0,110000
3140.0,9859600.0,485000
1682.0,2829124.0,174000
1072.0,1149184.0,145000
1547.0,2393209.0,215200
1905.0,3629025.0,320000
1661.0,2758921.0,212000
1350.0,1822500.0,168500
1845.0,3404025.0,189000
1601.0,2563201.0,140000
1498.0,2244004.0,187500
1947.0,3790809.0,254900
1098.0,1205604.0,135000
1054.0,1110916.0,151000
928.0,861184.0,112500
1820.0,3312400.0,184000
3082.0,9498724.0,197000
1788.0,3196944.0,161500
1022.0,1044484.0,85000
1274.0,1623076.0,203000
2504.0,6270016.0,325000
2153.0,4635409.0,313000
2031.0,4124961.0,237000
1824.0,3326976.0,180500
1008.0,1016064.0,137000
694.0,481636.0,90350
1728.0,2985984.0,150900
1588.0,2521744.0,214000
1392.0,1937664.0,121500
4476.0,20034576.0,745000
1969.0,3876961.0,190000
1504.0,2262016.0,181000
1276.0,1628176.0,60000
1800.0,3240000.0,239000
816.0,665856.0,118500
1040.0,1081600.0,109500
924.0,853776.0,110000
832.0,692224.0,105500
1886.0,3556996.0,199900
2196.0,4822416.0,271900
1039.0,1079521.0,131500
1271.0,1615441.0,135000
1367.0,1868689.0,119000
2093.0,4380649.0,215000
864.0,746496.0,133500
2447.0,5987809.0,169000
1054.0,1110916.0,137500
1120.0,1254400.0,147000
1616.0,2611456.0,232000
1073.0,1151329.0,156000
1389.0,1929321.0,170000
861.0,741321.0,82500
1135.0,1288225.0,155000
2828.0,7997584.0,424870
1616.0,2611456.0,236500
1437.0,2064969.0,218000
1630.0,2656900.0,213000
1800.0,3240000.0,312500
1855.0,3441025.0,187000
1675.0,2805625.0,181000
2084.0,4343056.0,233000
1111.0,1234321.0,95000
729.0,531441.0,52000
1586.0,2515396.0,181000
2234.0,4990756.0,501837
858.0,736164.0,88000
833.0,693889.0,112000
1283.0,1646089.0,140000
1644.0,2702736.0,167000
1383.0,1912689.0,145250
2073.0,4297329.0,210000
1539.0,2368521.0,157500
1552.0,2408704.0,212900
925.0,855625.0,117500
1414.0,1999396.0,185500
1526.0,2328676.0,85000
1712.0,2930944.0,145000
1717.0,2948089.0,255500
1750.0,3062500.0,124000
1176.0,1382976.0,134900
1936.0,3748096.0,230500
858.0,736164.0,110000
1919.0,3682561.0,233230
1762.0,3104644.0,157000
1728.0,2985984.0,142600
1626.0,2643876.0,154000
1496.0,2238016.0,179665
790.0,624100.0,91000
1935.0,3744225.0,197900
1964.0,3857296.0,205000
1666.0,2775556.0,161000
985.0,970225.0,149900
1358.0,1844164.0,207000
848.0,719104.0,143000
1970.0,3880900.0,281000
2046.0,4186116.0,372500
1865.0,3478225.0,235000
2134.0,4553956.0,214500
2646.0,7001316.0,260000
1236.0,1527696.0,149700
902.0,813604.0,131000
912.0,831744.0,144000
1656.0,2742336.0,215000
1382.0,1909924.0,176000
2020.0,4080400.0,144000
1052.0,1106704.0,155000
2531.0,6405961.0,290000
1852.0,3429904.0,230000
1660.0,2755600.0,290000
1709.0,2920681.0,328900
912.0,831744.0,142000
1764.0,3111696.0,231500
1395.0,1946025.0,162000
1040.0,1081600.0,133000
2392.0,5721664.0,386250
1103.0,1216609.0,110500
2078.0,4318084.0,339750
803.0,644809.0,87000
1152.0,1327104.0,158500
1173.0,1375929.0,170000
1092.0,1192464.0,55000
1784.0,3182656.0,138887
1920.0,3686400.0,170000
1670.0,2788900.0,240000
1223.0,1495729.0,147400
1801.0,3243601.0,289000
1656.0,2742336.0,135000
1717.0,2948089.0,140000
2599.0,6754801.0,333168
1644.0,2702736.0,146500
2468.0,6091024.0,354000
1362.0,1855044.0,143000
1484.0,2202256.0,265900
1200.0,1440000.0,146000
1350.0,1822500.0,165000
1152.0,1327104.0,82000
1680.0,2822400.0,213250
1440.0,2073600.0,79000
1214.0,1473796.0,143000
1479.0,2187441.0,130500
1801.0,3243601.0,239900
1494.0,2232036.0,177500
2329.0,5424241.0,262280
1588.0,2521744.0,227000
1194.0,1425636.0,159500
1494.0,2232036.0,217000
3238.0,10484644.0,410000
914.0,835396.0,148000
1641.0,2692881.0,178000
1573.0,2474329.0,162900
1472.0,2166784.0,187500
1750.0,3062500.0,160000
1768.0,3125824.0,212000
1196.0,1430416.0,139000
1126.0,1267876.0,108000
845.0,714025.0,84000
1968.0,3873024.0,172000
1221.0,1490841.0,104900
1368.0,1871424.0,114504
987.0,974169.0,106000
1442.0,2079364.0,179900
1220.0,1488400.0,102000
1500.0,2250000.0,190000
2450.0,6002500.0,340000
2207.0,4870849.0,180000
1208.0,1459264.0,206000
1795.0,3222025.0,131500
1440.0,2073600.0,150000
1212.0,1468944.0,186000
1111.0,1234321.0,116900
2715.0,7371225.0,299800
1724.0,2972176.0,188000
1328.0,1763584.0,143000
1052.0,1106704.0,138500
2417.0,5841889.0,260000
948.0,898704.0,119000
2019.0,4076361.0,167500
869.0,755161.0,85500
1554.0,2414916.0,209500
2112.0,4460544.0,206900
1416.0,2005056.0,112000
1593.0,2537649.0,193000
1381.0,1907161.0,197500
1632.0,2663424.0,139000
954.0,910116.0,119750
1922.0,3694084.0,198500
980.0,960400.0,135000
1786.0,3189796.0,223500
1694.0,2869636.0,307000
972.0,944784.0,132000
1437.0,2064969.0,168000
2263.0,5121169.0,287000
1725.0,2975625.0,197000
1236.0,1527696.0,134450
1040.0,1081600.0,133700
1704.0,2903616.0,306000
1523.0,2319529.0,180000
1489.0,2217121.0,232600
1569.0,2461761.0,175900
1212.0,1468944.0,178000
1573.0,2474329.0,227000
1790.0,3204100.0,165150
1576.0,2483776.0,223500
1728.0,2985984.0,207500
1600.0,2560000.0,256300
1922.0,3694084.0,377426
1692.0,2862864.0,224500
1656.0,2742336.0,249700
1047.0,1096209.0,100000
2728.0,7441984.0,437154
1425.0,2030625.0,180500
952.0,906304.0,121000
990.0,980100.0,156000
988.0,976144.0,180000
1056.0,1115136.0,107000
1746.0,3048516.0,377500
1718.0,2951524.0,185000
1464.0,2143296.0,175000
1660.0,2755600.0,195000
1752.0,3069504.0,319900
2620.0,6864400.0,190000
4676.0,21864976.0,184750
784.0,614656.0,109500
1120.0,1254400.0,129000
1382.0,1909924.0,148000
1386.0,1920996.0,158900
334.0,111556.0,39300
1200.0,1440000.0,151000
1414.0,1999396.0,178740
1584.0,2509056.0,124000
1517.0,2301289.0,230000
1258.0,1582564.0,145000
902.0,813604.0,125500
1158.0,1340964.0,158000
964.0,929296.0,163500
2380.0,5664400.0,129000
1232.0,1517824.0,194500
864.0,746496.0,127000
1982.0,3928324.0,228500
1924.0,3701776.0,280000
2080.0,4326400.0,234000
1647.0,2712609.0,175000
1617.0,2614689.0,193000
1340.0,1795600.0,120000
1940.0,3763600.0,395192
1855.0,3441025.0,136900
884.0,781456.0,144000
1626.0,2643876.0,175500
1284.0,1648656.0,110000
2290.0,5244100.0,255900
816.0,665856.0,110000
2183.0,4765489.0,229000
1869.0,3493161.0,124900
1646.0,2709316.0,164000
1844.0,3400336.0,257000
1571.0,2468041.0,239000
2082.0,4334724.0,200000
1959.0,3837681.0,171000
2374.0,5635876.0,285000
2142.0,4588164.0,193500
1200.0,1440000.0,144152
1992.0,3968064.0,250000
2285.0,5221225.0,248000
1824.0,3326976.0,302000
1850.0,3422500.0,326000
1355.0,1836025.0,127500
1668.0,2782224.0,180000
1406.0,1976836.0,89500
1888.0,3564544.0,190000
1228.0,1507984.0,189000
1638.0,2683044.0,192000
960.0,921600.0,94750
1698.0,2883204.0,320000
1063.0,1129969.0,128000
1236.0,1527696.0,135000
1535.0,2356225.0,118964
630.0,396900.0,81000
1092.0,1192464.0,88000
1652.0,2729104.0,325000
1144.0,1308736.0,139950
1795.0,3222025.0,147000
1541.0,2374681.0,205000
1507.0,2271049.0,127000
1441.0,2076481.0,174000
1479.0,2187441.0,191000
987.0,974169.0,89500
672.0,451584.0,113000
2192.0,4804864.0,179500
2000.0,4000000.0,305900
1125.0,1265625.0,155000
1124.0,1263376.0,93000
1839.0,3381921.0,257500
2144.0,4596736.0,277000
2260.0,5107600.0,328000
1977.0,3908529.0,165000
845.0,714025.0,129500
1786.0,3189796.0,204750
2555.0,6528025.0,191000
1700.0,2890000.0,165500
1671.0,2792241.0,173000
1376.0,1893376.0,119500
1689.0,2852721.0,127500
2554.0,6522916.0,159500
1416.0,2005056.0,153900
816.0,665856.0,129900
1370.0,1876900.0,152000
1442.0,2079364.0,185000
1285.0,1651225.0,127000
1474.0,2172676.0,168500
2013.0,4052169.0,269790
1563.0,2442969.0,245000
1663.0,2765569.0,256000
1192.0,1420864.0,135000
1774.0,3147076.0,87000
1962.0,3849444.0,239799
1302.0,1695204.0,176485
1118.0,1249924.0,116000
1766.0,3118756.0,370878
1253.0,1570009.0,176000
1097.0,1203409.0,152000
1078.0,1162084.0,149900
1572.0,2471184.0,168000
1524.0,2322576.0,260000
2060.0,4243600.0,214000
1344.0,1806336.0,137500
1818.0,3305124.0,169500
1029.0,1058841.0,118500
2521.0,6355441.0,151400
1500.0,2250000.0,173900
2217.0,4915089.0,268000
1370.0,1876900.0,202500
1262.0,1592644.0,185000
1894.0,3587236.0,214900
1694.0,2869636.0,318000
864.0,746496.0,97000
1709.0,2920681.0,130000
1738.0,3020644.0,104900
1319.0,1739761.0,123000
3222.0,10381284.0,320000
1355.0,1836025.0,127000
1306.0,1705636.0,76500
768.0,589824.0,133000
1077.0,1159929.0,118000
1183.0,1399489.0,120000
1456.0,2119936.0,179540
2291.0,5248681.0,230000
848.0,719104.0,140000
2332.0,5438224.0,426000
1348.0,1817104.0,117000
2108.0,4443664.0,235000
1336.0,1784896.0,108000
5642.0,31832164.0,160000
1344.0,1806336.0,144000
1935.0,3744225.0,263435
1470.0,2160900.0,135000
2156.0,4648336.0,262500
1728.0,2985984.0,125000
1768.0,3125824.0,226700
1048.0,1098304.0,135000
1728.0,2985984.0,190000
2358.0,5560164.0,122000
1146.0,1313316.0,187500
1601.0,2563201.0,272000
1920.0,3686400.0,172500
1363.0,1857769.0,125500
1148.0,1317904.0,123500
1294.0,1674436.0,193879
1248.0,1557504.0,87000
1419.0,2013561.0,184100
1440.0,2073600.0,182900
1140.0,1299600.0,84500
2090.0,4368100.0,200000
1640.0,2689600.0,183000
1679.0,2819041.0,193500
1218.0,1483524.0,131000
1142.0,1304164.0,134000
1110.0,1232100.0,165500
1164.0,1354896.0,125000
1192.0,1420864.0,78000
1422.0,2022084.0,179600
894.0,799236.0,130000
1953.0,3814209.0,252000
1792.0,3211264.0,231500
924.0,853776.0,80000
752.0,565504.0,125000
1740.0,3027600.0,219500
1593.0,2537649.0,178000
1385.0,1918225.0,166000
1266.0,1602756.0,176000
2021.0,4084441.0,274725
1334.0,1779556.0,167900
1252.0,1567504.0,160000
2526.0,6380676.0,136000
2402.0,5769604.0,555000
1362.0,1855044.0,128000
3627.0,13155129.0,625000
2520.0,6350400.0,290000
944.0,891136.0,82000
912.0,831744.0,125000
1553.0,2411809.0,186500
948.0,898704.0,111000
1852.0,3429904.0,252678
1230.0,1512900.0,110000
1080.0,1166400.0,141000
1250.0,1562500.0,116000
1611.0,2595321.0,167900
1949.0,3798601.0,236000
1369.0,1874161.0,103600
1482.0,2196324.0,163900
1048.0,1098304.0,113000
1372.0,1882384.0,250580
1296.0,1679616.0,220000
990.0,980100.0,126000
1489.0,2217121.0,139500
2172.0,4717584.0,280000
1266.0,1602756.0,159895
1218.0,1483524.0,208300
932.0,868624.0,124000
1322.0,1747684.0,147000
1635.0,2673225.0,117000
1478.0,2184484.0,157500
1184.0,1401856.0,81000
1710.0,2924100.0,208500
912.0,831744.0,156000
2126.0,4519876.0,185000
1394.0,1943236.0,167500
970.0,940900.0,132500
1034.0,1069156.0,169900
1720.0,2958400.0,196500
1387.0,1923769.0,93000
1357.0,1841449.0,177000
1264.0,1597696.0,167500
1484.0,2202256.0,174000
1767.0,3122289.0,239000
813.0,660969.0,110000
754.0,568516.0,84500
2069.0,4280761.0,242000
1509.0,2277081.0,175000
1481.0,2193361.0,174000
960.0,921600.0,129000
1040.0,1081600.0,109900
1040.0,1081600.0,90000
1802.0,3247204.0,200100
2610.0,6812100.0,303477
1466.0,2149156.0,149900
1652.0,2729104.0,139000
2097.0,4397409.0,228000
1625.0,2640625.0,235000
2287.0,5230369.0,225000
2822.0,7963684.0,582933
2054.0,4218916.0,244000
1336.0,1784896.0,157000
894.0,799236.0,110000
1719.0,2954961.0,324000
2127.0,4524129.0,271000
1251.0,1565001.0,160000
912.0,831744.0,120000
968.0,937024.0,37900
1829.0,3345241.0,237000
1574.0,2477476.0,190000
720.0,518400.0,34900
1980.0,3920400.0,315000
1621.0,2627641.0,202500
1602.0,2566404.0,215000
1616.0,2611456.0,152000
1600.0,2560000.0,207500
2119.0,4490161.0,158000
1709.0,2920681.0,130000
