Hypothesis Test: Interaction Between Neighborhood and Overall Quality on SalePrice
Description: Analyzing whether the impact of Overall Quality on SalePrice varies across different neighborhoods.

Interaction Data:
Neighborhood  OverallQual     SalePrice
     Blmngtn            7 183372.083333
     Blmngtn            8 223853.666667
     Blueste            6 124000.000000
      BrDale            5 114333.333333
      BrDale            6  96890.000000
     BrkSide            1  39300.000000
     BrkSide            3  67000.000000
     BrkSide            4 100875.000000
     BrkSide            5 125229.411765
     BrkSide            6 142221.428571
     BrkSide            7 175750.000000
     ClearCr            4 208750.000000
     ClearCr            5 188333.333333
     ClearCr            6 213944.444444
     ClearCr            7 261400.000000
     CollgCr            4 123600.000000
     CollgCr            5 135665.000000
     CollgCr            6 174501.157895
     CollgCr            7 211281.777778
     CollgCr            8 262735.722222
     CollgCr            9 279000.000000
     Crawfor            5 131248.375000
     Crawfor            6 206150.000000
     Crawfor            7 214686.363636
     Crawfor            8 312514.285714
     Edwards            1  61000.000000
     Edwards            3  89775.000000
     Edwards            4 112607.142857
     Edwards            5 120091.176471
     Edwards            6 148573.500000
     Edwards            7 155975.000000
     Edwards            9 320000.000000
     Edwards           10 172375.000000
     Gilbert            5 169000.000000
     Gilbert            6 182918.464286
     Gilbert            7 203680.833333
     Gilbert            8 199300.000000
     Gilbert            9 377500.000000
      IDOTRR            3  85000.000000
      IDOTRR            4  88644.444444
      IDOTRR            5 109071.428571
      IDOTRR            6 116714.285714
      IDOTRR            7 154450.000000
     MeadowV            4  86642.857143
     MeadowV            5 130500.000000
     MeadowV            6 151400.000000
     Mitchel            4 143250.000000
     Mitchel            5 141552.941176
     Mitchel            6 157971.428571
     Mitchel            7 205164.333333
       NAmes            3  90200.000000
       NAmes            4 112238.461538
       NAmes            5 137550.393258
       NAmes            6 155741.538462
       NAmes            7 203133.333333
       NAmes            8 282666.666667
     NPkVill            6 144392.857143
      NWAmes            5 159150.833333
      NWAmes            6 185686.363636
      NWAmes            7 192485.416667
      NWAmes            8 268266.666667
     NoRidge            7 259903.636364
     NoRidge            8 313138.888889
     NoRidge            9 333168.000000
     NoRidge           10 612166.666667
     NridgHt            6 194700.000000
     NridgHt            7 204956.538462
     NridgHt            8 299188.318182
     NridgHt            9 372259.700000
     NridgHt           10 431022.200000
     OldTown            3  98579.166667
     OldTown            4  99750.000000
     OldTown            5 119255.555556
     OldTown            6 133529.647059
     OldTown            7 170734.214286
     OldTown            8 150333.333333
     OldTown           10 400000.000000
       SWISU            2  60000.000000
       SWISU            4 126750.000000
       SWISU            5 156979.250000
       SWISU            6 139993.750000
       SWISU            7 176000.000000
      Sawyer            4 129785.714286
      Sawyer            5 136089.386364
      Sawyer            6 148842.857143
     SawyerW            4  94500.000000
     SawyerW            5 140307.714286
     SawyerW            6 159661.111111
     SawyerW            7 221891.428571
     SawyerW            8 262866.666667
     Somerst            6 183504.714286
     Somerst            7 198782.657143
     Somerst            8 263050.347826
     Somerst            9 339926.000000
     Somerst           10 310000.000000
     StoneBr            7 223250.000000
     StoneBr            8 286208.500000
     StoneBr            9 399673.750000
      Timber            5 182630.000000
      Timber            6 175125.000000
      Timber            7 252414.285714
      Timber            8 253791.300000
      Timber            9 346750.000000
     Veenker            5 218000.000000
     Veenker            6 177000.000000
     Veenker            7 294000.000000
     Veenker            8 279833.333333
     Veenker            9 385000.000000
