Hypothesis Test: Interaction Between Neighborhood and YearBuilt on SalePrice
Description: Investigating whether the relationship between YearBuilt and SalePrice varies significantly across different neighborhoods.

Interaction Data:
Neighborhood  YearBuilt     SalePrice
     Blmngtn       2003 224500.000000
     Blmngtn       2004 185370.000000
     Blmngtn       2005 184238.333333
     Blmngtn       2006 218530.500000
     Blmngtn       2007 169931.666667
     Blueste       1980 124000.000000
      BrDale       1970 112333.333333
      BrDale       1971  93280.000000
      BrDale       1972 106250.000000
      BrDale       1973  98666.666667
     BrkSide       1910 167500.000000
     BrkSide       1916 167750.000000
     BrkSide       1918 130000.000000
     BrkSide       1919 180500.000000
     BrkSide       1920 136000.000000
     BrkSide       1921  89000.000000
     BrkSide       1922 113000.000000
     BrkSide       1923 173000.000000
     BrkSide       1924 104750.000000
     BrkSide       1925 129666.666667
     BrkSide       1926 100300.000000
     BrkSide       1928 149000.000000
     BrkSide       1929 120000.000000
     BrkSide       1930 162900.000000
     BrkSide       1931 116250.000000
     BrkSide       1935  52000.000000
     BrkSide       1936 128166.666667
     BrkSide       1937 134900.000000
     BrkSide       1939 130233.333333
     BrkSide       1940  79500.000000
     BrkSide       1941 115500.000000
     BrkSide       1946  80450.000000
     BrkSide       1947  80500.000000
     BrkSide       1948 127000.000000
     BrkSide       1949  72500.000000
     BrkSide       1950 110000.000000
     BrkSide       1958 116500.000000
     BrkSide       1970 129000.000000
     ClearCr       1908 240000.000000
     ClearCr       1953 225000.000000
     ClearCr       1954 256000.000000
     ClearCr       1955 190000.000000
     ClearCr       1957 161500.000000
     ClearCr       1958 277000.000000
     ClearCr       1960 235000.000000
     ClearCr       1964 190000.000000
     ClearCr       1966 187500.000000
     ClearCr       1967 185000.000000
     ClearCr       1969 180000.000000
     ClearCr       1971 228500.000000
     ClearCr       1977 192000.000000
     ClearCr       1979 260000.000000
     ClearCr       1988 211000.000000
     ClearCr       1992 240000.000000
     ClearCr       1996 328000.000000
     ClearCr       1997 200000.000000
     CollgCr       1969 128500.000000
     CollgCr       1972 129628.571429
     CollgCr       1975 116000.000000
     CollgCr       1977 151412.500000
     CollgCr       1978 141750.000000
     CollgCr       1994 148520.000000
     CollgCr       1995 166750.000000
     CollgCr       1996 181200.000000
     CollgCr       1997 216330.000000
     CollgCr       1998 226885.714286
     CollgCr       1999 206400.000000
     CollgCr       2000 249000.000000
     CollgCr       2001 241111.111111
     CollgCr       2002 225945.454545
     CollgCr       2003 183166.666667
     CollgCr       2004 193510.538462
     CollgCr       2005 190046.666667
     CollgCr       2006 236171.000000
     CollgCr       2007 245922.200000
     CollgCr       2008 270421.500000
     CollgCr       2009 198900.000000
     Crawfor       1910 139000.000000
     Crawfor       1913  90350.000000
     Crawfor       1914 138887.000000
     Crawfor       1915 158500.000000
     Crawfor       1918 214475.000000
     Crawfor       1920 200100.000000
     Crawfor       1921 163500.000000
     Crawfor       1922 191000.000000
     Crawfor       1923 165000.000000
     Crawfor       1926 165250.000000
     Crawfor       1928 177000.000000
     Crawfor       1929 230000.000000
     Crawfor       1931 149000.000000
     Crawfor       1932 258000.000000
     Crawfor       1934 273900.000000
     Crawfor       1935 381000.000000
     Crawfor       1938 119750.000000
     Crawfor       1940 219500.000000
     Crawfor       1941 201666.666667
     Crawfor       1942 177500.000000
     Crawfor       1945 259500.000000
     Crawfor       1946 145000.000000
     Crawfor       1949 145000.000000
     Crawfor       1950 158500.000000
     Crawfor       1953 187000.000000
     Crawfor       1954 224000.000000
     Crawfor       1956 230000.000000
     Crawfor       1957 257500.000000
     Crawfor       1959 312000.000000
     Crawfor       1969 223000.000000
     Crawfor       1988 222000.000000
     Crawfor       2004 275000.000000
     Crawfor       2006 235000.000000
     Crawfor       2008 392500.000000
     Edwards       1900 132450.000000
     Edwards       1910  92666.666667
     Edwards       1914  58500.000000
     Edwards       1918 150500.000000
     Edwards       1920  96500.000000
     Edwards       1922  80450.000000
     Edwards       1924  91950.000000
     Edwards       1925 100800.000000
     Edwards       1931  79000.000000
     Edwards       1935 235000.000000
     Edwards       1938 100000.000000
     Edwards       1939 105000.000000
     Edwards       1940 111000.000000
     Edwards       1941 101250.000000
     Edwards       1945  98000.000000
     Edwards       1946 130500.000000
     Edwards       1947 118000.000000
     Edwards       1948  91500.000000
     Edwards       1949 119500.000000
     Edwards       1950 125000.000000
     Edwards       1951 102000.000000
     Edwards       1952 102750.000000
     Edwards       1953 155000.000000
     Edwards       1954 117483.333333
     Edwards       1955 113650.000000
     Edwards       1956 122833.333333
     Edwards       1957 102000.000000
     Edwards       1958  60000.000000
     Edwards       1959 163450.000000
     Edwards       1964 167000.000000
     Edwards       1965 120562.500000
     Edwards       1966 274970.000000
     Edwards       1972 137500.000000
     Edwards       1975 127500.000000
     Edwards       1976 136500.000000
     Edwards       1977 154750.000000
     Edwards       1987 179000.000000
     Edwards       1990 118500.000000
     Edwards       2003 167966.666667
     Edwards       2004 130000.000000
     Edwards       2005 153200.000000
     Edwards       2006 155000.000000
     Edwards       2007 252375.000000
     Edwards       2008 160000.000000
     Edwards       2009 186000.000000
     Gilbert       1948 169000.000000
     Gilbert       1988 164000.000000
     Gilbert       1990 180500.000000
     Gilbert       1992 171633.333333
     Gilbert       1993 181500.000000
     Gilbert       1994 184250.000000
     Gilbert       1995 177600.000000
     Gilbert       1997 194666.666667
     Gilbert       1998 188350.000000
     Gilbert       1999 202333.333333
     Gilbert       2000 193628.571429
     Gilbert       2001 222500.000000
     Gilbert       2002 195950.000000
     Gilbert       2003 189000.000000
     Gilbert       2004 202916.666667
     Gilbert       2005 207542.857143
     Gilbert       2006 231545.285714
     Gilbert       2007 178012.500000
